"address","rank","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","postalCode","street","reviewsCount","title","location/lat","location/lng","categoryName","price","totalScore"
"F36X+F5F, Sharaqpur, Sheikhupura, Punjab, Pakistan","21","4","3","2","1","0",,"F36X+F5F","10","Dory Bakers Sharaqpur","31.4611802","74.0979277","Bakery",,"3.7"
"F34W+7MF, Sharaqpur, Sheikhupura, Punjab, Pakistan","22","2","0","0","0","0",,"F34W+7MF","2","Bitter bites(BB)","31.4556787","74.0966616","Bakery",,"5"
"F472+7X3, Sharaqpur Sharif Main Rd, Sharaqpur, Sheikhupura, Punjab, Pakistan","23","5","1","2","0","1",,"F472+7X3, Sharaqpur Sharif Main Rd","9","Gourmet Foods - Sharaqpur","31.4631455","74.1024069","Bakery","$$","3.7"
"2V85+568, Pattoki - Chunian Rd, Old Mandi Pattoki, Kasur, Punjab, Pakistan","1",,,,,,,"2V85+568, Pattoki - Chunian Rd","208","Best Sweet & Bakers","31.0170821","73.8533137","Bakery",,"4.3"
"XX8G+4H7 Lahori sweet and baker's, infornt of national bank, Chunian, Kasur, Punjab, Pakistan","2",,,,,,,"XX8G+4H7 Lahori sweet and baker's, infornt of national bank","1","Lahori sweet and baker's","30.965288","73.9764096","Bakery",,"5"
"XX7G+WWV, Chunian, Kasur, Punjab, Pakistan","6",,,,,,,"XX7G+WWV","10","Jalandhar Sweets Baker's & General Store","30.9648688","73.9772814","Bakery",,"4.3"
"THQ) Hospital, 147 ft Tehsil Head Quarter, Chunian, Kasur, Punjab, Pakistan","11",,,,,,,"THQ) Hospital, 147 ft Tehsil Head Quarter","4","Mehran Sweet & Bakers","30.9664938","73.9744669","Bakery",,"4.5"
"P7P8+G26, Baoli, Jamada, 39000, Pakistan","1",,,,,,"39000","P7P8+G26, Baoli, Jamada","378","PANACHE (The Bake Shop)","31.7363087","74.2650807","Bakery",,"4.3"
"Q7X3+RQV, Main GT Rd, Canal Park Piran Basti, Muridke, Sheikhupura, Punjab, Pakistan","2",,,,,,,"Q7X3+RQV, Main GT Rd","17","Tariq Sweets And Bakes","31.7996562","74.2544323","Bakery",,"4.5"
"R723+6PW, Canal Park Piran Basti, Muridke, Sheikhupura, Punjab, Pakistan","3",,,,,,,"R723+6PW","1087","Gourmet Foods","31.8006002","74.2543434","Bakery",,"3.9"
"R733+3G2, Main Bazaar, Mohalla Faiz Madina Mohalla Sheikhan, Muridke, Sheikhupura, Punjab, Pakistan","4",,,,,,,"R733+3G2, Main Bazaar","180","Siddique Sweets and Bakers","31.8026393","74.2537741","Bakery",,"4"
"Muridke Town Main Bazar, Faisal Park Muridke, Sheikhupura, Punjab 39000, Pakistan","5",,,,,,"39000","Muridke Town Main Bazar","7","Al-Bashir Sweets And Bakers","31.801453","74.2641107","Bakery",,"5"
"R724+PW3, Main Bazaar, Mohalla Ahmad Pura Mohalla Sheikhan, Muridke, Sheikhupura, Punjab, Pakistan","6",,,,,,,"R724+PW3, Main Bazaar","1","پاکستان sweets and bakers","31.801756","74.257312","Bakery",,"4"
