"reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","title","location/lat","location/lng","categoryName","price","postalCode","address","reviewsCount","street","totalScore"
"39","7","10","5","2","Pizza Channel Wapda Town","31.4261549","74.2673126","Restaurant",,,"38, Market Block J1, j1market commercial plaza, WAPDA Town Block J 1 Wapda Town Phase 1 Lahore, Punjab, Pakistan","63","38, Market Block J1, j1market commercial plaza","4"
"115","34","10","19","4","Chicken Munchies Pizza & Fast Food Restaurant","31.4164167","74.260643","Restaurant",,"54770","24, Block A1 Block A 1 Valencia, Lahore, Punjab 54770, Pakistan","182","24","4.3"
"159","58","32","25","9","The Pizza Lounge","31.4355849","74.215955","Fast food restaurant",,,"7 D EME, Block D DHA, Lahore, Punjab, Pakistan","283","7 D EME","4.1"
"28","4","8","3","2","Bakes & Bites pizza","31.3946958","74.2559955","Restaurant",,"54000","Block K1 Block K 1 Valencia, Lahore, Punjab 54000, Pakistan","45",,"3.9"
"19","1","1","1","0","The Pizza Master","31.4317724","74.2532817","Fast food restaurant",,,"C7J3+P83, Iqbal Ave, Nasheman Iqbal Phase 1 Nasheman-e-Iqbal Housing Society, Lahore, Punjab, Pakistan","22","C7J3+P83, Iqbal Ave","4.7"
,,,,,"Delish Pizza Bar","31.5185632","74.346263","Pizza restaurant","$$",,"Fashion Ave, Mall 94 Block D1 Gulberg, Lahore, Punjab, Pakistan","522","Fashion Ave","4.3"
,,,,,"Broadway Pizza - MM Alam","31.5068439","74.350047","Pizza restaurant","$$","54660","Near Hussain Chowk, 59-B Block Block B 3 Gulberg III, Lahore, Punjab 54660, Pakistan","7683","Near Hussain Chowk","4.5"
,,,,,"PizzaroChiX","31.5639089","74.3861945","Pizza restaurant",,,"Jehangir Rd, Gunj Lahore, Punjab, Pakistan","15","Jehangir Rd","4.8"
,,,,,"The Pizza Shop","31.5224987","74.4509232","Pizza restaurant",,,"155 Barki Rd, Block D Park View CHS, Lahore, Punjab, Pakistan","547","155 Barki Rd","4.2"
,,,,,"Asian Pizza","31.5486197","74.3831715","Pizza restaurant",,"54000","Shop no, 648 Sarfaraz Rafiqui Rd, near VIP store, Saddar Town, Lahore, Punjab 54000, Pakistan","14","Shop no, 648 Sarfaraz Rafiqui Rd, near VIP store","4.9"
,,,,,"Pizza Channel","31.4821527","74.3102115","Pizza restaurant","$","54000","Pizza Channel, Shop 7 Hafiz Plaza 31-M Block, Model Town Extension Model Town, Lahore, 54000, Pakistan","2047","Pizza Channel, Shop 7 Hafiz Plaza 31-M Block","4.2"
,,,,,"Broadway Pizza - Shadman","31.5422727","74.3289841","Pizza restaurant","$$","54000","Plot # 97 Shadman, 1 Lahore Main Blvd Shadman, near Shadman Chowk, Lahore, 54000, Pakistan","2717","Plot # 97 Shadman, 1 Lahore Main Blvd Shadman, near Shadman Chowk","4.6"
,,,,,"Broadway Pizza - Mall Road","31.5620513","74.3183742","Pizza restaurant","$$","54000","westend Plaza, 72 Shahrah-e-Quaid-e-Azam, Mozang Chungi, Lahore, Punjab 54000, Pakistan","3899","westend Plaza, 72 Shahrah-e-Quaid-e-Azam","4.6"
,,,,,"The Pizza King","31.6209793","74.251892","Fast food restaurant",,,"Main bazar khaki Dosaco chowk, Lahore - Sheikhupura - Faisalabad Rd, Pind Nizampura Dhaka, Lahore, Sheikhupura, Punjab, Pakistan","22","Main bazar khaki Dosaco chowk, Lahore - Sheikhupura - Faisalabad Rd","4.5"
,,,,,"New Pizza Masters","31.5309766","74.3014015","Pizza restaurant",,"54000","shabab chowk, 942 Samanabad، Samanabad Town, Lahore, Punjab 54000, Pakistan","312","shabab chowk, 942 Samanabad","4.3"
,,,,,"Pizza 21 Thokar Branch","31.46748","74.2433184","Pizza restaurant",,,"basement of, max digitle colour lab studio, Lalazar commercial, 13-B, Main Raiwind Rd, Block C Judicial Colony, Lahore, Punjab, Pakistan","356","basement of, max digitle colour lab studio, Lalazar commercial, 13-B, Main Raiwind Rd","3.9"
,,,,,"Bombay Pizza","31.5639858","74.2942305","Pizza restaurant",,"54000","18 Alamgir Rd, Krishan Nagar Lahore, Punjab 54000, Pakistan","18","18 Alamgir Rd","4.3"
,,,,,"Broadway Pizza - Shalimar","31.5688067","74.3807784","Pizza restaurant","$$","54000","H99J+5CC, Shop # 7-8 Bazar Stop, Shalimar Link Road, near Ramgarh, Gunj, Lahore, Punjab 54000, Pakistan","4153","H99J+5CC, Shop # 7-8 Bazar Stop, Shalimar Link Road, near Ramgarh","4.5"
,,,,,"Broadway Pizza Faisal Town","31.476417","74.3073699","Pizza restaurant","$$","54770","38C Main Rd, Block B Faisal Town, Lahore, Punjab 54770, Pakistan","3882","38C Main Rd","4.5"
"17","0","0","0","0","Pizza 47","31.4138605","74.2227487","Fast food restaurant",,,"C67F+G3X, Block A Sher Shah Colony, Lahore, Punjab, Pakistan","17","C67F+G3X","5"
"2","0","0","0","0","Saucy Burger & Pizza Shop","31.4324","74.2123644","Pizza restaurant",,"53710","B, Block, near Judge Hotel, Nawazish Abad Block B DHA EME Sector, Lahore, Punjab 53710, Pakistan","2","B, Block, near Judge Hotel","5"
"41","15","12","8","3","Popo's pizza Central Park","31.4113224","74.2107207","Fast food restaurant",,,"A Block, Block J plaza# 78 Central Park, Lahore, Punjab, Pakistan","79","A Block","3.9"
"6","0","1","1","0","Usama Burger and Pizza اسامہ برگراینڈپیزا","31.429837","74.3223583","Pizza restaurant",,,"تہایت گاٶں نزد قاٸداعظم انڈسٹریل, Street 1 اسٹیٹ گیٹ نمبر 5, Lahore, Pakistan","8","تہایت گاٶں نزد قاٸداعظم انڈسٹریل, Street 1 اسٹیٹ گیٹ نمبر 5","4.3"
"20","1","0","1","0","Pizza & Poppers","31.4308231","74.3057711","Fast food restaurant",,"54700","Plot 1097, Sector D2 Sector D 2 Block 1 Green Town, Lahore, Punjab 54700, Pakistan","22","Plot 1097","4.9"
"15","0","1","0","0","Pizza 9","31.4352586","74.2147861","Fast food restaurant",,,"57-D, DHA EME Sector, Lahore, Pakistan","16","57-D","4.8"
"1","0","0","0","0","Pizza Cafe Gulshan lahore","31.4242486","74.2524284","Fast food restaurant",,,"C7F2+MXV, Gulshan-E-Lahore Block C Gulshan E Lahore, Lahore, Punjab, Pakistan","1","C7F2+MXV","5"
"4","0","0","0","0","Taste Pizza","31.4011162","74.2688816","Restaurant",,,"131, Block E E block Audit and Accounts Housing Society, Lahore, Punjab, Pakistan","4","131","5"
,,,,,"Pizza World","31.4029543","74.2600746","Fast food restaurant",,"54000","shop no, 7, Block H Valencia, Lahore, Punjab 54000, Pakistan","0","shop no, 7",
"2","0","0","1","0","PIZZA YAAR","31.4130903","74.2500113","Pizza Takeout",,,"Total Parco Fuel Pump, Pine Ave, Valencia, Lahore, Punjab, Pakistan","3","Total Parco Fuel Pump, Pine Ave","4.3"
"11","1","1","2","0","Fresh Inn Pizza & Burger","31.4186254","74.2870888","Restaurant",,,"C79P+FR4, Babar Ln, Block C Military Accounts Chs, Lahore, Punjab, Pakistan","15","C79P+FR4, Babar Ln","4.4"
"32","15","7","10","3","Pizza Planet","31.428146","74.238136","Restaurant",,,"1, Block B Punjab University Employees Housing Scheme Phase-II, Lahore, Punjab, Pakistan","67","1","3.9"
"2","1","0","0","0","Pizza spark","31.4391468","74.2847024","Fast food restaurant",,,"12, Block B1 Block B 1 PGECHS, Lahore, Punjab, Pakistan","3","12","4.7"
"3","1","0","0","0","Crispers Burger and Pizza","31.4391744","74.2105955","Pizza restaurant",,,"219-C Block Market, Block E DHA EME Sector, Lahore, Punjab, Pakistan","4","219-C Block Market","4.8"
"29","4","0","2","3","BYT Pizzeria & Grill","31.4410508","74.2747206","Fast food restaurant",,"54000","396-D3, WAPDA Town Block D 3 Wapda Town Phase 1 Lahore, Punjab 54000, Pakistan","38","396-D3","4.6"
"1","0","0","0","0","Pizza restaurant","31.4205374","74.2839531","Pizza restaurant",,,"C7CM+6H8, Block A Military Accounts Co-operative Housing Society, Lahore, Punjab, Pakistan","1","C7CM+6H8","5"
"3","0","0","0","0","Pizza Polar","31.4307032","74.2113867","Fast food restaurant",,,"C6J6+7GQ, Nawazish Abad Block B DHA EME Sector, Lahore, Punjab, Pakistan","3","C6J6+7GQ","5"
"4","2","0","0","0","Pizza Crowd 7","31.436743","74.2910927","Pizza restaurant",,,"155C1 Nespak Housing Society, College Road, near Ghazi Chowk, Township Phase 1 Lahore, Pakistan","6","155C1 Nespak Housing Society, College Road, near Ghazi Chowk","4.7"
"10","0","0","0","0","Ti-Amo Foods","31.4350272","74.2906103","Pizza restaurant",,"54600","Ahmad Chowk, Township Block 1 Twp Sector C 2 Johar Town, Lahore, Punjab 54600, Pakistan","10","Ahmad Chowk","5"
"155","42","41","24","10","Forks n Knives — DHA Rahbar","31.3910628","74.2596991","Pizza restaurant",,"54000","Main Defence Road, Gate#8, opp. Valencia housing society, Lahore, 54000, Pakistan","272","Main Defence Road, Gate#8, opp. Valencia housing society","4"
"352","125","49","105","37","Pizza n Chicks","31.4218754","74.2813319","Restaurant","$",,"C7CJ+QG4, College Road, Block A Military Accounts Chs, Lahore, Punjab, Pakistan","668","C7CJ+QG4, College Road","4"
