"categoryName","location/lat","location/lng","totalScore","address","postalCode","title","reviewsCount","reviewsDistribution","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","street","price"
"Maternity hospital","31.564842","74.2860155",,"H77P+R88, Sanda Rd, Sanda Islampura, Lahore, Punjab 54000, Pakistan","54000","Govt Maternity Hospital","0",,,,,,,"H77P+R88, Sanda Rd",
"Medical Center","31.5955695","74.3164786","4","H8W8+6HH, Data Nagar Badami Bagh, Lahore, Punjab, Pakistan",,"Faizan Medical Store","2",,"1","0","0","1","0","H8W8+6HH",
"Hospital","31.5987285","74.2983378","1","85/2 Main Ravi Rd, Qasurpura, Lahore, Punjab, Pakistan",,"Lahore Homoeopathic Medical Colege and Hospital 85/2 Main Ravi Road Lahore","1",,"0","0","1","0","0","85/2 Main Ravi Rd",
"Hospital","31.5737882","74.322981","2.3","67 Railway Rd, Gawalmandi, Lahore, Punjab 54000, Pakistan","54000","NGP Clinic| Your Family doctor | Reverse Diabetes Centre |Health Care Centre | Doctor Home Service , Lahore Pakistan","3",,"1","0","2","0","0","67 Railway Rd",
"Hospital","31.5940476","74.2988905",,"beside timber Market Metro station, Main Bazar Qasurpura, Kasurpura, Lahore, Punjab 05481, Pakistan","05481","Bashir Medical Complex - BMC","0",,,,,,,"beside timber Market Metro station",
"Hospital","31.5697849","74.3168358","4.5","Mayo Hospital Rd, Anarkali Bazaar Lahore, Punjab 54000, Pakistan","54000","CENUMAECH CENTRE FOR NUCLEAR MEDICINE LAHORE","32",,"24","4","1","2","1","Mayo Hospital Rd",
"Hospital","31.5702544","74.3144769","5","H8C7+4Q5, Mayo Hospital Link Rd, Anarkali Bazaar Lahore, Punjab 54000, Pakistan","54000","KEMU Forensic Department","1",,"1","0","0","0","0","H8C7+4Q5, Mayo Hospital Link Rd",
"Hospital","31.574146","74.2963909","3","Shaykh Abdul Qadir Jilani Rd, Sant Nagar Data Gunj Buksh Town, Lahore, Punjab 54000, Pakistan","54000","NGP Clinic| Your Family doctor | Reverse Diabetes Centre |Health Care Centre | Doctor Home Service , Lahore Pakistan","2",,"1","0","1","0","0","Shaykh Abdul Qadir Jilani Rd",
"Hospital","31.5868015","74.3089187","3.8","H8Q5+2CH, Fort Rd، near Badshahi masjid, Shahi Mohallah Walled City of Lahore, Lahore, Punjab, Pakistan",,"Punjab Dental Hospital","228",,"126","22","47","25","8","H8Q5+2CH, Fort Rd، near Badshahi masjid",
"Hospital","31.6084129","74.2671111","5","J758+9R9 Govt Dispancery, Begum Kot Shahdara Town, Shahdara, Lahore, Punjab, Pakistan",,"Govt Dispancery","2",,"2","0","0","0","0","J758+9R9 Govt Dispancery",
