"title","location/lat","location/lng","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","address","price","rank","categoryName","totalScore","postalCode","reviewsCount","street"
"Faisal traders","31.5966233","74.3081205","1","2","0","0","0","H8W5+J6X, Nabi Park Rd, Ravi Park Lahore, Punjab, Pakistan",,"100","Supermarket","4.3",,"3","H8W5+J6X, Nabi Park Rd"
"B.M. Superstore","31.8358688","74.2606089","3","2","1","0","0","R7P6+86X, Nangal Sahdan, Sheikhupura, Punjab, Pakistan",,"51","Supermarket","4",,"6","R7P6+86X"
"BHATTI TRADERS","31.8094318","74.2454176","4","4","1","3","1","R65W+Q5F, Muridke - Sheikhupura Rd, Muridke, Sheikhupura, Punjab, Pakistan",,"52","Supermarket","3.7",,"13","R65W+Q5F, Muridke - Sheikhupura Rd"
"Lucky Auto Store","31.8104519","74.2526802","1","0","0","0","0","R763+53M, Daoke Muridke, Sheikhupura, Punjab, Pakistan",,"53","Grocery store","5",,"1","R763+53M"
"موسیٰ اینڈ کمپنی آرمز اینڈ ایمو نیشن","31.8019728","74.2582525","1","0","1","0","1","R725+Q8J, Mohalla Sheikhan Railway Station, Muridke, Sheikhupura, Punjab, Pakistan",,"54","Grocery store","2.7",,"3","R725+Q8J"
"new malik store","31.8006565","74.2557629",,,,,,"R724+786, Karkhana Bazar, Mohalla Ahmad Pura Mohalla Ahmedpura, Muridke, Sheikhupura, Punjab 54000, Pakistan",,"55","Grocery store",,"54000","0","R724+786, Karkhana Bazar"
"javed store","31.8006565","74.2557629",,,,,,"R724+786, Karkhana Bazar, Mohalla Ahmad Pura Mohalla Ahmedpura, Muridke, Sheikhupura, Punjab 54000, Pakistan",,"56","Grocery store",,"54000","0","R724+786, Karkhana Bazar"
"Umar store","31.8006565","74.2557629",,,,,,"R724+786, Karkhana Bazar, Mohalla Ahmad Pura Mohalla Ahmedpura, Muridke, Sheikhupura, Punjab 54000, Pakistan",,"57","Grocery store",,"54000","0","R724+786, Karkhana Bazar"
"Umer Farooq Genrel Store","31.7965416","74.2499587","10","0","2","1","1","Q6WX+JX8, Gulshan Zafar Colony Gulshan e Zafar Colony, Muridke, Sheikhupura, Punjab, Pakistan",,"58","Grocery store","4.1",,"14","Q6WX+JX8"
"alshahbaz flex","31.8002903","74.2558628","11","5","1","2","0","Karkhana Bazar, Mohalla Ahmad Pura Mohalla Ahmedpura, Muridke, Sheikhupura, Punjab 39000, Pakistan",,"59","Supermarket","4.3","39000","19","Karkhana Bazar"
