"reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","categoryName","location/lat","location/lng","totalScore","street","price","address","postalCode","title","reviewsCount"
,,,,,"School","31.7303578","73.3456918","5","P8JW+47W Mekaal school, street",,"P8JW+47W Mekaal school, street, Bhulair, Nankana Sahib, Punjab 119, Pakistan","119","Mekaal Public School","4"
,,,,,"Primary school","30.9721545","74.1572267","3.7","X5C4+VV9",,"X5C4+VV9, Sikander Pura, Kasur, Punjab, Pakistan",,"Govt Primary School (Boys)","3"
,,,,,"Girls' high school","31.7345496","73.3417798","5","P8MR+RP6",,"P8MR+RP6, Bhulair, Nankana Sahib, Punjab, Pakistan",,"Govt Girls High School Bhulair 119 RB","2"
,,,,,"Middle school","31.718787","73.3656841","5","P998+G77, Bhulair Rd",,"P998+G77, Bhulair Rd, Sangla Hill, Faisalabad, Punjab, Pakistan",,"Superior Science Secondary School","1"
,,,,,"School","30.8812834","74.0720223","5","Lahore, Kasur Road",,"Lahore, Kasur Road, Allah Abad, Kasur, Punjab, Pakistan",,"AL-Islam public School Ellah Abad","1"
,,,,,"School","31.7156995","73.3672766","4.5","Bhulair Rd",,"Bhulair Rd, Sangla Hill, Faisalabad, Punjab 39600, Pakistan","39600","Ever Green Grammar School","2"
,,,,,"Boys' high school","30.9045463","74.1411606","5","W43R+RF7",,"W43R+RF7, Talwandi, Kasur, Punjab, Pakistan",,"Govt High School","3"
,,,,,"Middle school","31.7346233","73.3428686",,"P8MV+R4X NP pacca laran liaquatpur, Basti Nazir khan",,"P8MV+R4X NP pacca laran liaquatpur, Basti Nazir khan, Bhulair, Pakistan",,"Govt.Secondary School Basti Nazir Khan","0"
,,,,,"School","30.9718032","74.1141713",,,,"Bheemkay, Bhimke, Kasur, Punjab, Pakistan",,"Govt. Primary School Bheemkay","0"
,,,,,"Primary school","31.7466048","73.3384578",,"Chak No 120 NB",,"Chak No 120 NB, Pakistan",,"Govt. Primary school Dera Endar sing 120","0"
,,,,,"Education center","30.9741479","74.1794633",,"Rajowall kuhna, Vilge",,"Rajowall kuhna, Vilge, Khudian Khas, Kasur, Punjab 55030, Pakistan","55030","Pak learning School","0"
,,,,,"Elementary school","31.7919876","73.363851",,"Q9R7+QGX",,"Q9R7+QGX, Ghulle Bajway, Nankana Sahib, Punjab, Pakistan",,"Govt Girls Elementary School Ghulle Bajway","0"
,,,,,"Boys' high school","31.7340349","73.3407411","4.5","P8MR+J79",,"P8MR+J79, Bhulair, Nankana Sahib, Punjab, Pakistan",,"Govt Boys High School Bhulair119RB","2"
