"title","reviewsCount","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","street","price","categoryName","location/lat","location/lng","totalScore","postalCode","address"
"Amazon beauty parlour","1","1","0","0","0","0","G5V4+85C",,"Beauty salon","31.5433089","74.1554018","5",,"G5V4+85C, Dhamke, Dhamkey, Sheikhupura, Punjab, Pakistan"
"Heer beauty salon","5",,,,,,"PHHG+P7M",,"Beauty salon","31.7293312","73.5756638","5",,"PHHG+P7M, Safdarabad, Sheikhupura, Punjab, Pakistan"
"Aroob Beauty Saloon And Institute","1","0","0","0","1","0","G733+9MQ, M block commercial market",,"Beauty salon","31.5034598","74.2542467","3",,"G733+9MQ, M block commercial market, Maraghzar Colony Block M Marghzar Housing Scheme, Lahore, Punjab, Pakistan"
"Sania Salon","0",,,,,,"G764+GV9, Mustafa Park, Link Sabzazar, Marghzar Rd",,"Beauty salon","31.5042853","74.2549345",,,"G764+GV9, Mustafa Park, Link Sabzazar, Marghzar Rd, Dobben Pura Lahore, Punjab, Pakistan"
"Ahmad Beauty Salon","6",,,,,,"RJJC+GC6, Khanqah Dogran - Safdarabad Rd",,"Hair salon","31.8312837","73.6210293","4",,"RJJC+GC6, Khanqah Dogran - Safdarabad Rd, Khanqah Dogran, Nankana Sahib, Punjab, Pakistan"
"Eman beauty saloon and training centre","0",,,,,,"G62X+XF9",,"Beauty salon","31.5024207","74.2487451",,,"G62X+XF9, Maraghzar Colony Block G Marghzar Housing Scheme, Lahore, Punjab, Pakistan"
"17cuts","0",,,,,,,,"Hair salon","31.5385381","74.1658924",,,"Dhamke, Mirpur, Sheikhupura, Punjab, Pakistan"
"Kashmala Beauty Saloon and Skin Care","0",,,,,,"109 Makkah St",,"Beauty salon","31.5100518","74.2510141",,,"109 Makkah St, Shadiwal, Lahore, Punjab, Pakistan"
"Fashion Hud Beauty Care Training Center","0",,,,,,"Plot C 18",,"Beauty salon","31.505079","74.2485294",,,"Plot C 18, Maraghzar Colony Block E Marghzar Housing Scheme, Lahore, Punjab, Pakistan"
"Aqsa's Beauty Hub","12",,,,,,"near Masjid Aik Minar Wali",,"Beauty salon","31.2017081","73.9390173","5",,"near Masjid Aik Minar Wali, Madina Colony, Phool Nagar, Kasur, Punjab, Pakistan"
"Adii& saloon","1",,,,,,"6W4Q+6CV",,"Beauty salon","31.2056135","73.9385592","5",,"6W4Q+6CV, Phool Nagar, Kasur, Punjab, Pakistan"
"Sajid Hair Saloon","3",,,,,,"5VQG+VXC",,"Beauty salon","31.2101692","73.9428664","5",,"5VQG+VXC, Christian Colony, Balloki, Kasur, Punjab, Pakistan"
"Sunny Beauty Parlour","6",,,,,,"6W4V+JG3",,"Beauty salon","31.2065193","73.9437839","4.8",,"6W4V+JG3, Phool Nagar, Kasur, Punjab, Pakistan"
"SS hair salon","0",,,,,,"6W4P+4Q2, Eid Gah Road",,"Beauty salon","31.2051967","73.9369727",,,"6W4P+4Q2, Eid Gah Road, Phool Nagar, Kasur, Punjab, Pakistan"
"Perfect Beauty Saloon and Training Centre","6",,,,,,"near Malik gas Trader's",,"Beauty salon","31.2131608","73.9517794","5",,"near Malik gas Trader's, Mohalla Islam Pura Malik Colony, Phool Nagar, Kasur, Punjab, Pakistan"
"Irfan Hair Salon jally Ki","0",,,,,,"5W9X+99P",,"Hair salon","31.169119","73.948917",,,"5W9X+99P, Jalleke, Kasur, Punjab, Pakistan"
"Glamour Hair Salon","0",,,,,,"6X74+R6P",,"Hair salon","31.2145818","73.9555782",,,"6X74+R6P, Phool Nagar, Kasur, Punjab, Pakistan"
"Garemr hair salon","0",,,,,,"6X74+R7R, Multan Rd",,"Hair salon","31.2146223","73.9556305",,,"6X74+R7R, Multan Rd, Phool Nagar, Kasur, Punjab, Pakistan"
"AR Beauty Salon","3",,,,,,"6XC7+Q3X",,"Beauty salon","31.2219954","73.9627243","2.3",,"6XC7+Q3X, Kot Kharak Singh, Phool Nagar, Kasur, Punjab, Pakistan"
"ANAYA BEAUTY SALON عنائیہ بیوٹی سلون","1",,,,,,"bank, near mcb",,"Beauty salon","31.0867746","73.9638511","5","54000","bank, near mcb, Changa Manga, Kasur, Punjab 54000, Pakistan"
"Sharaft hair saloon","2","2","0","0","0","0","6W2M+7W6, Unnamed Road",,"Hairdresser","31.2006654","73.934779","5",,"6W2M+7W6, Unnamed Road, Phool Nagar, Kasur, Punjab, Pakistan"
"Five Stare Roop Beauty Saloon","0",,,,,,"6W4W+VFH",,"Beauty salon","31.2071835","73.9462439",,,"6W4W+VFH, Phool Nagar, Kasur, Punjab, Pakistan"
"ALI HARE SALOON","3","1","0","1","0","1","6W5V+897 FASAL BANK",,"Shopping mall","31.2082891","73.9434275","2.7",,"6W5V+897 FASAL BANK, Phool Nagar, Kasur, Punjab, Pakistan"
"Muhammad Talha Bhatti","1","1","0","0","0","0","Street 1",,"House sitter","31.2074244","73.9499003","5","55260","Street 1, Phool Nagar, Kasur, Punjab 55260, Pakistan"
"Wasim Hair Salon","2",,,,,,"5RG6+5WM",,"Hair salon","31.1754671","73.8122966","5",,"5RG6+5WM, Sarai Mughal, Kasur, Punjab, Pakistan"
"Raja End Hair Saloon","2",,,,,,"5QRX+7P4",,"Hair salon","31.1906395","73.7993221","3",,"5QRX+7P4, Jaja Kalan, Kasur, Punjab, Pakistan"
"Nusahi salon","0",,,,,,"5RQM+3F3",,"Beauty salon","31.18763","73.8336585",,,"5RQM+3F3, Bunga Mulaan, Kasur, Punjab, Pakistan"
"Ali hair salon & parlour,","1",,,,,,"4Q4M+FM6",,"Beauty salon","31.1061725","73.7841324","5",,"4Q4M+FM6, Padhana Chak No 45, Kasur, Punjab, Pakistan"
"Aamir Hair salon shaikham","1",,,,,,"3R85+V54",,"Hair salon","31.0671039","73.8077506","5",,"3R85+V54, Shaikham Kalan, Kasur, Punjab, Pakistan"
"Mohammad Ramzan Hair Salon","1",,,,,,"8M45+2C2, Bara Ghar Rd",,"Hair salon","31.3050101","73.6585287","5","39130","8M45+2C2, Bara Ghar Rd, Mohalla Bawray, Bucheki, Nankana Sahib, Punjab 39130, Pakistan"
